FID,Shape *,AWS_ID,AWS__Locat,Latitude,Longitude,Monsoon
87,Point,30067,Addagutta Community Hall,17.443056,78.52361,646.6
88,Point,30068,Indiranagar Community Hall: Tarnaka,17.441595,78.54256,653.8
89,Point,30069,Mettuguda Govt.: Primary School,17.433374,78.519394,623.1
90,Point,30070,Seethapalmandi Kindi Basthi Comm Hall,17.42639,78.513336,582.4
91,Point,30071,Pikit Health center:Contonment Area,17.452557,78.50003,732.3
92,Point,30072,Peerzadiguda Muncipal Council Building,17.395082,78.59189,590.8
93,Point,30073,SRT Park Comm Hall: Ramnagar,17.408333,78.505554,692.5
94,Point,30074,Padmarao Nagar Venkatapuram Ground,17.42632,78.4923,649.7
95,Point,30075,Osmania University Registrar Office,17.406706,78.519226,652.6
96,Point,30076,Red Hills play ground,17.395851,78.46462,778.8
97,Point,30077,Begum Bazar DoodhKhana UHC,17.375645,78.47123,629.5
98,Point,30078,LB Stadium: Gunfoudry,17.399162,78.47432,653.6
99,Point,30079,Dogs Control Building:Gowliwada Jumerath Bazar,17.371206,78.46423,392.1
100,Point,30080,GHMC Circle Office: Patancheru,17.53477,78.26311,488.4
101,Point,30081,Shanthi nagar Kalyanamandapam: Patancheru,17.5279,78.265884,486.7
102,Point,30082,ModernComm Hall: Rangareddy Nagar,17.484777,78.44695,659.2
103,Point,30083,HMT Line: Chintal,17.514992,78.438614,411.3
104,Point,30084,S.R.Naik Nagaa: Subhash Nagar,17.53249,78.445465,664.6
105,Point,30085,Gayatri Nagar: Jeedimetla,17.505287,78.4708,729.9
106,Point,30086,Ushodaya Colony Park: Gajularamaram,17.52225,78.42664,733.7
107,Point,30087,BR Ambedkar bhavan,17.538233,78.433464,560.1
108,Point,30088,GHMC Circle office: Rajendranagar,17.331856,78.408875,641.8
109,Point,30089,RDO Office: Attapur,17.357323,78.425385,520.7
110,Point,30090,Primary Urban Health Center: Jahanuma,17.33322,78.45729,589.3
111,Point,30091,Near Ekta Colony: Shastripuram (Sivarampally),17.330753,78.43711,546.6
